iter	Passed	Remaining
883	1124	147
884	1125	146
885	1126	144
886	1127	143
887	1128	142
888	1129	141
889	1130	139
890	1131	138
891	1132	137
892	1133	135
893	1135	134
894	1136	133
895	1137	132
896	1139	130
897	1140	129
898	1141	128
899	1143	127
900	1144	125
901	1145	124
902	1146	123
903	1147	121
904	1149	120
905	1150	119
906	1151	118
907	1152	116
908	1153	115
909	1154	114
910	1155	112
911	1156	111
912	1157	110
913	1158	109
914	1159	107
915	1160	106
916	1162	105
917	1163	103
918	1164	102
919	1165	101
920	1166	100
921	1167	98
922	1168	97
923	1169	96
924	1170	94
925	1171	93
926	1172	92
927	1173	91
928	1174	89
929	1175	88
930	1176	87
931	1177	85
932	1179	84
933	1180	83
934	1181	82
935	1182	80
936	1183	79
937	1184	78
938	1185	76
939	1186	75
940	1187	74
941	1188	73
942	1189	71
943	1190	70
944	1191	69
945	1192	68
946	1193	66
947	1194	65
948	1195	64
949	1196	62
950	1197	61
951	1198	60
952	1200	59
953	1201	57
954	1202	56
955	1203	55
956	1204	54
957	1205	52
958	1206	51
959	1207	50
960	1208	49
961	1209	47
962	1210	46
963	1211	45
964	1212	43
965	1213	42
966	1214	41
967	1215	40
968	1216	38
969	1217	37
970	1219	36
971	1220	35
972	1221	33
973	1222	32
974	1223	31
975	1224	30
976	1225	28
977	1226	27
978	1227	26
979	1228	25
980	1229	23
981	1230	22
982	1232	21
983	1233	20
984	1234	18
985	1235	17
986	1236	16
987	1237	15
988	1238	13
989	1239	12
990	1240	11
991	1241	10
992	1243	8
993	1244	7
994	1245	6
995	1246	5
996	1247	3
997	1248	2
998	1249	1
999	1250	0
